Algorithm:	Modified Algorithm nn=10 initAttems=20
10	9034
11	8189
12	7542
13	6766
14	6091
15	5597
16	5088
17	4629
18	4308
19	3757
20	3650
21	3236
22	2928
23	2691
24	2416
25	2212
26	1964
27	1893
28	1674
29	1491
30	1331
31	1216
32	1179
33	1078
34	952
35	810
36	748
37	703
38	646
39	606
40	536
41	459
42	444
43	384
44	373
45	298
46	282
47	269
48	214
49	204
50	181
51	177
52	172
53	157
54	132
55	120
56	108
57	97
58	78
59	92
60	69
61	75
62	67
63	66
64	48
65	39
66	39
67	40
68	35
69	25
70	30
71	20
72	23
73	30
74	11
75	18
76	16
77	11
78	12
79	8
80	15
81	6
82	11
83	4
84	9
85	9
86	6
87	8
88	6
89	6
90	2
91	2
92	5
93	3
94	2
95	1
96	2
97	1
98	2
100	2
101	3
102	3
103	2
105	1
106	2
107	1
113	1
115	1
Total link number:	999934
